0.00	0.09	0.00
0.10	0.02	0.11
0.20	0.07	0.23
0.30	0.15	0.34
0.40	0.28	0.46
0.50	0.43	0.57
0.60	0.62	0.69
0.70	0.85	0.81
0.80	1.11	0.93
0.90	1.41	1.04
1.00	1.74	1.16
1.10	2.11	1.28
1.20	2.51	1.40
1.30	2.96	1.52
1.40	3.43	1.64
1.50	3.95	1.76
1.60	4.50	1.88
1.70	5.09	2.00
1.80	5.71	2.12
1.90	6.34	2.22
2.00	7.03	2.35
2.10	7.77	2.47
2.20	8.54	2.59
2.30	9.34	2.71
2.40	10.19	2.83
2.50	11.07	2.95
2.60	11.95	3.08
2.70	12.81	3.17
2.80	13.80	3.29
2.90	14.82	3.41
3.00	15.87	3.53
3.10	16.97	3.65
3.20	18.10	3.77
3.30	19.27	3.89
3.40	20.38	4.02
3.50	21.42	4.08
3.60	22.69	4.20
3.70	23.99	4.32
3.80	25.32	4.44
3.90	26.69	4.56
4.00	28.09	4.68
4.10	29.53	4.80
4.20	31.01	4.93
4.30	32.34	5.05
4.40	33.50	5.08
4.50	35.08	5.20
4.60	36.67	5.32
4.70	38.29	5.43
4.80	39.95	5.55
4.90	41.64	5.67
5.00	43.37	5.79
5.10	45.14	5.90
5.20	46.61	6.02
5.30	47.78	6.01
5.40	49.69	6.14
5.50	51.53	6.25
5.60	53.42	6.37
5.70	55.35	6.48
5.80	57.31	6.59
5.90	59.30	6.71
6.00	61.33	6.82
6.10	63.39	6.93
6.20	64.93	7.05
6.30	66.56	6.98
6.40	69.33	7.30
6.50	70.17	7.19
6.60	72.57	7.34
6.70	74.72	7.44
6.80	76.95	7.55
6.90	79.21	7.66
7.00	81.50	7.77
7.10	83.82	7.88
7.20	86.17	7.99
7.30	87.68	8.10
7.40	89.36	7.96
7.50	92.82	8.36
7.60	93.11	8.15
7.70	96.06	8.33
7.80	98.39	8.42
7.90	100.91	8.52
8.00	103.42	8.63
8.10	105.97	8.73
8.20	108.54	8.83
8.30	111.15	8.94
8.40	112.48	9.04
8.50	114.15	8.83
8.60	118.39	9.33
8.70	119.22	8.99
8.80	123.89	9.55
8.90	123.07	9.18
9.00	126.93	9.43
9.10	129.29	9.48
9.20	132.18	9.59
9.30	134.93	9.68
9.40	137.77	9.78
9.50	140.62	9.88
9.60	143.50	9.98
9.70	144.47	10.07
9.80	146.08	9.77
9.90	151.39	10.41
10.00	151.37	9.89
10.10	157.53	10.64
10.20	154.99	10.05
10.30	160.21	10.42
10.40	162.23	10.40
10.50	165.64	10.54
10.60	168.49	10.61
10.70	171.62	10.71
10.80	174.66	10.79
10.90	177.78	10.89
11.00	180.91	10.98
11.10	181.28	11.07
11.20	182.85	10.65
11.30	189.46	11.48
11.40	188.07	10.70
11.50	196.39	11.73
11.60	194.07	10.83
11.70	203.12	11.94
11.80	200.32	10.97
11.90	206.38	12.15
12.00	201.27	10.52
12.10	215.51	12.64
12.20	205.93	10.48
12.30	223.16	12.94
12.40	211.65	10.54
12.50	226.28	13.19
12.60	214.53	9.95
12.70	235.95	14.30
12.80	210.45	8.69
12.90	246.61	15.65
13.00	201.77	7.08
13.10	250.36	17.03
13.20	182.11	4.32
13.30	255.83	19.12
13.40	141.66	0.44
13.50	260.20	20.44
13.60	113.98	-1.99
13.70	266.68	20.94
13.80	112.60	-2.49
13.90	265.40	21.50
14.00	96.22	-4.32
14.10	265.54	22.61
14.20	72.88	-6.98
14.30	256.77	24.48
14.40	44.78	-12.33
14.50	189.17	31.35
14.60	191.72	-35.82
